ID1,ID2,time,value
6,83505,8/27/2016 12:00:00 AM,5
6,83505,9/3/2016 12:00:00 AM,5
6,83505,9/10/2016 12:00:00 AM,35
6,83505,9/17/2016 12:00:00 AM,59
6,83505,9/24/2016 12:00:00 AM,8
6,83505,10/1/2016 12:00:00 AM,266
6,83505,10/8/2016 12:00:00 AM,57
6,83505,10/15/2016 12:00:00 AM,508
6,83505,10/22/2016 12:00:00 AM,993

